Facility Id,Facility Name,Facility Type,Bed Capacity,Region,Licence Issue Date,Inspection Date,Gps Location,Remarks
HF-000000,Avila-Jones Hospital,Hospital,156,,2017-04-19,2020-05-31,"-59.21736, 13.28658",
HF-000001,"Williams, Lambert and Cunningham",Hospital,10,,2016-12-20,2024-04-08,"125033.0, 584653.0",Good
HF-000002,"Roberts, Carter and Hanson Polyclinic",Polyclinic,10,St. John,2019-05-14,2025-07-24,"13648.0, 585327.0",
HF-000003,Winters-Williams,Polyclinic,488,,2020-08-31,2022-02-15,"-58.8798, 12.96136",
HF-000004,Lutz-Allen,Community Health Center,256,Christ Church,2018-12-12,2024-11-03,"-58.80522, 12.98951",
HF-000005,Rojas Ltd Medical Center,Polyclinic,10,,2023-10-24,2025-06-09,,
HF-000006,Burgess-Ingram Medical Center,Community Health Center,250,St. Lucy,2021-01-04,2024-03-08,"13.08576, -58.75331",
HF-000007,Clark-Cameron Hospital,Community Health Center,14,,2019-12-07,2023-07-27,"12.93061, -58.9094",
HF-000008,Nguyen-Jones,Polyclinic,447,,2025-01-31,2025-02-07,"124848.0, 585138.0",
HF-000009,Obrien Ltd Clinic,Community Health Center,0,St. Lucy,2017-04-04,2020-08-07,,
HF-000010,Williams-Bowers Polyclinic,Hospital,10,,2019-04-14,2024-04-18,,Good
HF-000011,"Herrera, Smith and Simmons Hospital",Community Health Center,1,,2016-03-14,2023-12-02,"-58.92298, 12.84512",Follow-up 2023
HF-000012,Hamilton-Benson,Polyclinic,444,,2023-01-27,2024-05-13,"12.78321, -59.18358",Good
HF-000013,Banks LLC Polyclinic,Community Health Center,313,,2020-09-03,2024-09-08,,Good
HF-000015,Peterson Group,Polyclinic,396,St. James,2019-04-20,2024-02-26,,
HF-000016,Butler-Leon Clinic,Hospital,117,,2016-02-18,2022-12-30,"-58.82307, 13.00952",Good
HF-000017,"Oconnor,-Greene-and-Peters Clinic",Community Health Center,0,,2024-10-11,2025-05-24,"131412.0, 5984.0",Reinspection due
HF-000018,Conner Medical Center,Community Health Center,333,,2021-11-28,2022-03-11,,Follow-up 2023
HF-000019,Duran-Olson Hospital,Polyclinic,0,,2019-08-05,2025-10-07,,
HF-000021,Hopkins-and-Sons Medical Center,Hospital,0,St. Michael,2016-11-21,2022-07-03,,Follow-up 2023
HF-000022,Washington-Gardner,Polyclinic,127,,2022-07-16,2025-07-16,"131555.0, 585147.0",
HF-000024,Mendoza-Henson Medical Center,Polyclinic,399,,2016-03-26,2019-07-03,"13.12975, -58.96571",
HF-000025,Arellano Inc,,55,,2023-03-12,2024-09-10,,Needs upgrade
HF-000026,"Powell, Morales and Butler Infirmary",Community Health Center,179,,2020-11-21,2024-03-07,"12.77293, -59.04279",Follow-up 2023
HF-000027,Maynard-Group,Community Health Center,410,,2018-06-11,2023-08-31,"12.82532, -59.13768",
HF-000028,"Williams, Woods and Bradley Polyclinic",Hospital,0,,2021-04-17,2024-01-31,"131243.0, 585150.0",
HF-000029,Best Inc Hospital,Community Health Center,406,,2019-07-03,2019-08-30,"125548.0, 59026.0",
HF-000031,"Wells, Marsh and Hernandez Hospital",Hospital,0,,2022-02-10,2023-04-04,,Good
HF-000032,Curtis Inc Medical Center,,0,,2023-10-06,2023-12-24,,
HF-000033,May-Manning Polyclinic,Polyclinic,426,,2019-03-30,2023-02-10,"-58.96854, 12.79789",
HF-000035,Ortiz,Polyclinic,0,,2018-03-24,2025-05-06,"-58.88596, 13.29315",Follow-up 2023
HF-000036,"Phillips, Henderson and Miller",Polyclinic,446,St. Lucy,2021-10-01,2025-04-16,"-58.93633, 13.218",
HF-000037,"Herrera,-Taylor-and-Sanchez",Community Health Center,10,St. Andrew,2018-03-22,2021-11-06,"13148.0, 5921.0",
HF-000038,Johnson Group,Community Health Center,429,St. George,2019-07-12,2022-05-26,"-59.1283, 13.26986",
HF-000039,"Young, Sanchez and Perkins Infirmary",Polyclinic,340,,2019-03-13,2020-01-03,,
HF-000040,"Mendoza, Wilson and Jones Polyclinic",Community Health Center,10,,2018-09-03,2023-05-24,"131354.0, 59541.0",Good
HF-000041,Wagner-Franklin Health Centre,Polyclinic,461,,2018-05-18,2019-07-31,"-59.10919, 13.04721",
